#type;batch #;wafer #;reticle name;vendor;processing;"height; mm";"width; mm";strips per side;Production year;owner;location;"V_fd; V";"I_150V_20C; uA";I_350V_20C;P-strips defect;N-strip defect;quality grade (0..10);"problem; Y/N";"QA passed; Y/N";"opt. check. passed; Y/N";comment
CBM06C4;351140;1;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;90;4.52;5.3;1;1;0;0;0;0;before dicing
CBM06C4;351140;2;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;90;5.164;6.998;1;0;0;0;0;0;before dicing
CBM06C4;351140;3;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;96;3.18;3.91;0;0;0;0;0;0;before dicing
CBM06C4;351140;4;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;95;2.99;3.86;0;0;0;0;0;0;before dicing
CBM06C4;351140;5;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;102;2.909;3.63;0;0;0;0;0;0;before dicing
CBM06C4;351140;6;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;0;0;0;0;0;0;1;0;0;before dicing
CBM06C4;351140;7;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;108;2.572;3.17;1;0;0;0;0;0;before dicing
CBM06C4;351140;8;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;107;2.598;4.06;0;1;0;0;0;0;before dicing
CBM06C4;351140;9;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;95;2.7;3.31;0;1;0;0;0;0;before dicing
CBM06C4;351140;10;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;107;2.89;3.6;0;0;0;0;0;0;before dicing
CBM06C4;351140;11;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;108;3.33;3.956;0;0;0;0;0;0;before dicing
CBM06C4;351140;12;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;108;4.995;6.25;0;1;0;0;0;0;before dicing
CBM06C4;351140;13;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;113;5.66;13.96;0;3;0;0;0;0;before dicing
CBM06C4;351140;14;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;99;2.44;3.206;0;1;0;0;0;0;before dicing
CBM06C4;351140;15;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;117;1.516;2.11;1;0;0;0;0;0;before dicing
CBM06C4;351140;16;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;102;1.239;1.74;2;0;0;0;0;0;before dicing
CBM06C4;351140;17;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;115;1.25;1.82;1;0;0;0;0;0;before dicing
CBM06C4;351140;18;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;100;1.326;1.78;2;0;0;0;0;0;before dicing
CBM06C4;351140;19;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;106;1.315;1.76;0;0;0;0;0;0;before dicing
CBM06C4;351140;20;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;99;1.382;1.98;0;0;0;0;0;0;before dicing
CBM06C4;351140;21;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;96;1.335;2.09;0;0;0;0;0;0;before dicing
CBM06C4;351140;22;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;103;1.46;2.267;0;0;0;0;0;0;before dicing
CBM06C4;351140;23;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;102;1.607;2.42;1;0;0;0;0;0;before dicing
CBM06C4;351140;24;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;97;1.542;2.14;0;0;0;0;0;0;before dicing
CBM06C4;351140;25;0;CiS;DSDM;42;62;1024;2015;J. Heuser;GSI;95;2.911;3.51;2;0;0;0;0;0;before dicing
