Unique ID;vendor;type;wafer #;reticle name;year;owner;location
1;CiS;CBM06C6;01;main;2014;J. Heuser;GSI
2;CiS;CBM06C6;02;main;2014;J. Heuser;GSI
3;CiS;CBM06C6;03;main;2014;J. Heuser;GSI
4;CiS;CBM06C6;04;main;2014;J. Heuser;GSI
5;CiS;CBM06C6;05;main;2014;J. Heuser;GSI
6;CiS;CBM06C6;06;main;2014;J. Heuser;GSI
7;CiS;CBM06C6;07;main;2014;J. Heuser;GSI
8;CiS;CBM06C6;08;main;2014;J. Heuser;GSI
9;CiS;CBM06C6;09;main;2014;J. Heuser;GSI
10;CiS;CBM06C6;10;main;2014;J. Heuser;GSI
11;CiS;CBM06C6;11;main;2014;J. Heuser;GSI
12;CiS;CBM06C6;12;main;2014;J. Heuser;GSI
13;CiS;CBM06C6;13;main;2014;J. Heuser;GSI
14;CiS;CBM06C6;14;main;2014;J. Heuser;GSI
15;CiS;CBM06C6;15;main;2014;J. Heuser;GSI
16;CiS;CBM06C6;16;main;2014;J. Heuser;GSI
17;CiS;CBM06C6;17;main;2014;J. Heuser;GSI
18;CiS;CBM06C6;18;main;2014;J. Heuser;GSI
19;CiS;CBM06C6;19;main;2014;J. Heuser;GSI
20;CiS;CBM06C6;20;main;2014;J. Heuser;GSI
21;CiS;CBM06C6;21;main;2014;J. Heuser;GSI
22;CiS;CBM06C6;22;main;2014;J. Heuser;GSI
23;CiS;CBM06C6;23;main;2014;J. Heuser;GSI
24;CiS;CBM06C6;24;main;2014;J. Heuser;GSI
25;CiS;CBM06C6;25;main;2014;J. Heuser;GSI
26;HPC;CBM05H4;01;main;2014;J. Heuser;GSI
27;HPC;CBM05H4;02;main;2014;J. Heuser;GSI
28;HPC;CBM05H4;03;main;2014;J. Heuser;GSI
29;HPC;CBM05H4;04;main;2014;J. Heuser;GSI
30;HPC;CBM05H4;05;main;2014;J. Heuser;GSI
31;HPC;CBM05H4;06;main;2014;J. Heuser;GSI
32;HPC;CBM05H4;07;main;2014;J. Heuser;GSI
33;HPC;CBM05H4;08;main;2014;J. Heuser;GSI
34;HPC;CBM05H4;09;main;2014;J. Heuser;GSI
35;HPC;CBM05H4;10;main;2014;J. Heuser;GSI
36;HPC;CBM05H4;11;main;2014;J. Heuser;GSI
37;HPC;CBM05H4;12;main;2014;J. Heuser;GSI
38;HPC;CBM05H4;13;main;2014;J. Heuser;GSI
39;HPC;CBM05H4;14;main;2014;J. Heuser;GSI
40;HPC;CBM05H4;15;main;2014;J. Heuser;GSI
