Unique ID;type;wafer #;V_fd, V;I_150V_20C, uA;I_250V_20C;P-strips defect;N-strip defect;quality grade (0..10);problem, Y/N;QA passed, Y/N;opt. check passed, Y/N;comment
1;CBM06C6;01;71.61;11.20;15.56;10;0;0;1;0;0;NO
2;CBM06C6;02;77;9.88;11.65;4;0;0;0;1;0;NO
3;CBM06C6;03;0;16.14;39.72;0;00;0;0;0;0;NO
4;CBM06C6;04;71;10.46;12.33;0;0;0;0;1;0;NO
5;CBM06C6;05;72;8.59;9.82;0;0;0;1;0;0;NO
6;CBM06C6;06;0;9.39;12.91;0;0;0;0;0;0;NO
7;CBM06C6;07;0;11.93;24.43;0;1;0;0;0;0;NO
8;CBM06C6;08;65;9.35;11.17;0;3;0;0;1;0;NO
9;CBM06C6;09;60;9.83;11.48;0;0;0;0;1;0;NO
10;CBM06C6;10;0;10.18;12.04;0;3;0;0;0;0;NO
11;CBM06C6;11;0;10.12;12.15;0;2;0;0;0;0;NO
12;CBM06C6;12;0;11.38;13.27;0;0;0;0;0;0;NO
13;CBM06C6;13;0;10.98;14.09;0;0;0;0;0;0;NO
14;CBM06C6;14;0;4.32;8.90;0;5;0;0;0;0;NO
15;CBM06C6;15;0;99.00;99.00;0;0;0;1;0;0;NO
16;CBM06C6;16;0;5.29;7.71;0;0;0;0;0;0;NO
17;CBM06C6;17;0;5.30;7.55;0;0;0;0;0;0;NO
18;CBM06C6;18;0;5.72;8.47;0;0;0;0;0;0;NO
19;CBM06C6;19;0;5.68;7.68;0;0;0;0;0;0;NO
20;CBM06C6;20;0;4.84;7.38;0;0;0;0;0;0;NO
21;CBM06C6;21;0;5.11;8.48;0;0;0;0;0;0;NO
22;CBM06C6;22;0;5.11;12.29;0;0;0;0;0;0;NO
23;CBM06C6;23;0;5.25;10.11;0;0;0;0;0;0;NO
24;CBM06C6;24;0;5.56;11.16;0;0;0;0;0;0;NO
25;CBM06C6;25;0;8.40;15.15;0;0;0;0;0;0;NO
26;CBM05H4;01;70;0.77;0;5;3;0;0;1;0;NO
27;CBM05H4;02;70;1.15;0;2;1;0;0;1;0;NO
28;CBM05H4;03;70;1.13;0;3;1;0;0;1;0;NO
29;CBM05H4;04;70;0.78;0;4;0;0;0;1;0;NO
30;CBM05H4;05;70;1.49;0;4;0;0;0;1;0;NO
31;CBM05H4;06;65;1.15;0;3;0;0;0;1;0;NO
32;CBM05H4;07;70;1.11;0;3;1;0;0;1;0;NO
33;CBM05H4;08;70;0.77;0;2;1;0;0;1;0;NO
34;CBM05H4;09;70;1.29;0;2;0;0;0;1;0;NO
35;CBM05H4;10;75;1.01;0;1;0;0;0;1;0;NO
36;CBM05H4;11;70;1.51;0;4;0;0;0;1;0;NO
37;CBM05H4;12;75;0.98;0;3;0;0;0;1;0;NO
38;CBM05H4;13;75;0.76;0;3;0;0;0;1;0;NO
39;CBM05H4;14;75;0.93;0;6;0;0;0;1;0;NO
40;CBM05H4;15;70;0.96;0;4;0;0;0;1;0;NO
