#sensor type;batch #;wafer #;sensor name;manufacturer;production date;current owner;current location;V_fd, V;I_150V_20C, uA;I_250V_20C;strips defect, p-side;strips defect, n-side;quality grade (0..10);problem, Y/N;passed, Y/N;comment
CBM06C6;331827;1;0;CiS;03/06/14;J. Heuser;GSI;71.61;11.198;15.562;10;0;0;YES;NO;NO
CBM06C6;331827;2;0;CiS;03/06/14;J. Heuser;GSI;77;9.883;11.654;4;0;0;NO;YES;NO
CBM06C6;331827;3;0;CiS;03/06/14;J. Heuser;GSI;0;16.142;39.72;0;0;0;NO;NO;NO
CBM06C6;331827;4;0;CiS;03/06/14;J. Heuser;GSI;71;10.46;12.332;0;0;0;NO;YES;NO
CBM06C6;331827;5;0;CiS;03/06/14;J. Heuser;GSI;72;8.59;9.82;0;0;0;YES;NO;NO
CBM06C6;331827;6;0;CiS;03/06/14;J. Heuser;GSI;0;9.389;12.912;0;0;0;NO;NO;NO
CBM06C6;331827;7;0;CiS;03/06/14;J. Heuser;GSI;0;11.929;24.43;0;1;0;NO;NO;NO
CBM06C6;331827;8;0;CiS;03/06/14;J. Heuser;GSI;65;9.352;11.17;0;3;0;NO;YES;NO
CBM06C6;331827;9;0;CiS;03/06/14;J. Heuser;GSI;60;9.827;11.48;0;0;0;NO;YES;NO
CBM06C6;331827;10;0;CiS;03/06/14;J. Heuser;GSI;0;10.181;12.039;0;3;0;NO;NO;NO
CBM06C6;331827;11;0;CiS;03/06/14;J. Heuser;GSI;0;10.12;12.152;0;2;0;NO;NO;NO
CBM06C6;331827;12;0;CiS;03/06/14;J. Heuser;GSI;0;11.384;13.27;0;0;0;NO;NO;NO
CBM06C6;331827;13;0;CiS;03/06/14;J. Heuser;GSI;0;10.976;14.087;0;0;0;NO;NO;NO
CBM06C6;331827;14;0;CiS;03/06/14;J. Heuser;GSI;0;4.319;8.896;0;5;0;NO;NO;NO
CBM06C6;331827;15;0;CiS;03/06/14;J. Heuser;GSI;0;99;99;0;0;0;YES;NO;NO
CBM06C6;331827;16;0;CiS;03/06/14;J. Heuser;GSI;0;5.287;7.709;0;0;0;NO;NO;NO
CBM06C6;331827;17;0;CiS;03/06/14;J. Heuser;GSI;0;5.299;7.548;0;0;0;NO;NO;NO
CBM06C6;331827;18;0;CiS;03/06/14;J. Heuser;GSI;0;5.72;8.466;0;0;0;NO;NO;NO
CBM06C6;331827;19;0;CiS;03/06/14;J. Heuser;GSI;0;5.681;7.683;0;0;0;NO;NO;NO
CBM06C6;331827;20;0;CiS;03/06/14;J. Heuser;GSI;0;4.84;7.38;0;0;0;NO;NO;NO
CBM06C6;331827;21;0;CiS;03/06/14;J. Heuser;GSI;0;5.11;8.48;0;0;0;NO;NO;NO
CBM06C6;331827;22;0;CiS;03/06/14;J. Heuser;GSI;0;5.11;12.29;0;0;0;NO;NO;NO
CBM06C6;331827;23;0;CiS;03/06/14;J. Heuser;GSI;0;5.25;10.11;0;0;0;NO;NO;NO
CBM06C6;331827;24;0;CiS;03/06/14;J. Heuser;GSI;0;5.557;11.157;0;0;0;NO;NO;NO
CBM06C6;331827;25;0;CiS;03/06/14;J. Heuser;GSI;0;8.4;15.146;0;0;0;NO;NO;NO
CBM05H4;S10938-1609;1;0;Hamamatsu;02/18/14;J. Heuser;GSI;70;765.9;0;5;3;0;NO;YES;NO
CBM05H4;S10938-1609;2;0;Hamamatsu;02/18/14;J. Heuser;GSI;70;1145.5;0;2;1;0;NO;YES;NO
CBM05H4;S10938-1609;3;0;Hamamatsu;02/18/14;J. Heuser;GSI;70;1127.5;0;3;1;0;NO;YES;NO
CBM05H4;S10938-1609;4;0;Hamamatsu;02/18/14;J. Heuser;GSI;70;775.4;0;4;0;0;NO;YES;NO
CBM05H4;S10938-1609;5;0;Hamamatsu;02/18/14;J. Heuser;GSI;70;1494;0;4;0;0;NO;YES;NO
CBM05H4;S10938-1609;6;0;Hamamatsu;02/18/14;J. Heuser;GSI;65;1152.8;0;3;0;0;NO;YES;NO
CBM05H4;S10938-1609;7;0;Hamamatsu;02/18/14;J. Heuser;GSI;70;1110.9;0;3;1;0;NO;YES;NO
CBM05H4;S10938-1609;8;0;Hamamatsu;02/18/14;J. Heuser;GSI;70;766.4;0;2;1;0;NO;YES;NO
CBM05H4;S10938-1609;9;0;Hamamatsu;02/18/14;J. Heuser;GSI;70;1289.9;0;2;0;0;NO;YES;NO
CBM05H4;S10938-1609;10;0;Hamamatsu;02/18/14;J. Heuser;GSI;75;1014.9;0;1;0;0;NO;YES;NO
CBM05H4;S10938-1609;11;0;Hamamatsu;02/18/14;J. Heuser;GSI;70;1510.3;0;4;0;0;NO;YES;NO
CBM05H4;S10938-1609;12;0;Hamamatsu;02/18/14;J. Heuser;GSI;75;984.4;0;3;0;0;NO;YES;NO
CBM05H4;S10938-1609;13;0;Hamamatsu;02/18/14;J. Heuser;GSI;75;761.3;0;3;0;0;NO;YES;NO
CBM05H4;S10938-1609;14;0;Hamamatsu;02/18/14;J. Heuser;GSI;75;930.4;0;6;0;0;NO;YES;NO
CBM05H4;S10938-1609;15;0;Hamamatsu;02/18/14;J. Heuser;GSI;70;956.8;0;4;0;0;NO;YES;NO
